day,temperature,country,high,low
1,44,Cimbria,47,41
2,43,Cimbria,44,39
3,43,Cimbria,47,41
4,36,Cimbria,38,35
5,34,Cimbria,38,30
6,32,Cimbria,34,28
7,30,Cimbria,34,29
8,27,Cimbria,30,26
9,26,Cimbria,27,24
10,22,Cimbria,24,18
11,18,Cimbria,20,16
12,20,Cimbria,21,17
13,19,Cimbria,23,17
14,16,Cimbria,19,14
15,14,Cimbria,16,11
16,11,Cimbria,12,7
17,10,Cimbria,11,7
18,14,Cimbria,16,10
19,12,Cimbria,13,10
20,16,Cimbria,20,13
21,20,Cimbria,23,19
22,24,Cimbria,26,21
23,29,Cimbria,32,28
24,25,Cimbria,27,21
25,31,Cimbria,34,28
