Japan, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 21/09/2016
Year    Age        ASFR
1947     12-    0.00000
1947     13     0.00000
1947     14     0.00005
1947     15     0.00039
1947     16     0.00184
1947     17     0.00732
1947     18     0.02168
1947     19     0.04583
1947     20     0.08737
1947     21     0.13156
1947     22     0.17261
1947     23     0.21863
1947     24     0.24590
1947     25     0.26763
1947     26     0.27645
1947     27     0.28147
1947     28     0.26676
1947     29     0.26808
1947     30     0.25786
1947     31     0.24879
1947     32     0.23521
1947     33     0.22387
1947     34     0.20644
1947     35     0.19409
1947     36     0.17484
1947     37     0.15631
1947     38     0.13912
1947     39     0.12186
1947     40     0.09917
1947     41     0.07233
1947     42     0.05446
1947     43     0.03479
1947     44     0.02156
1947     45     0.01190
1947     46     0.00616
1947     47     0.00341
1947     48     0.00222
1947     49     0.00198
1947     50     0.00149
1947     51     0.00111
1947     52     0.00084
1947     53     0.00068
1947     54     0.00052
1947     55+    0.00182
1948     12-    0.00000
1948     13     0.00000
1948     14     0.00006
1948     15     0.00042
1948     16     0.00224
1948     17     0.00881
1948     18     0.02452
1948     19     0.05506
1948     20     0.09828
1948     21     0.14788
1948     22     0.19405
1948     23     0.23462
1948     24     0.25955
1948     25     0.26754
1948     26     0.27134
1948     27     0.26313
1948     28     0.25801
1948     29     0.24015
1948     30     0.23618
1948     31     0.22232
1948     32     0.21407
1948     33     0.20118
1948     34     0.18979
1948     35     0.17626
1948     36     0.16519
1948     37     0.14966
1948     38     0.13422
1948     39     0.11765
1948     40     0.09845
1948     41     0.07715
1948     42     0.05407
1948     43     0.03605
1948     44     0.02041
1948     45     0.01053
1948     46     0.00562
1948     47     0.00289
1948     48     0.00162
1948     49     0.00125
1948     50     0.00081
1948     51     0.00060
1948     52     0.00053
1948     53     0.00035
1948     54     0.00026
1948     55+    0.00080
1949     12-    0.00000
1949     13     0.00000
1949     14     0.00005
1949     15     0.00040
1949     16     0.00223
1949     17     0.00801
1949     18     0.02257
1949     19     0.04952
1949     20     0.09608
1949     21     0.14137
1949     22     0.19146
1949     23     0.23686
1949     24     0.25853
1949     25     0.27393
1949     26     0.27746
1949     27     0.27667
1949     28     0.26853
1949     29     0.26009
1949     30     0.23770
1949     31     0.23047
1949     32     0.21321
1949     33     0.19831
1949     34     0.18237
1949     35     0.16821
1949     36     0.15025
1949     37     0.13604
1949     38     0.12001
1949     39     0.10067
1949     40     0.08303
1949     41     0.06477
1949     42     0.04580
1949     43     0.02833
1949     44     0.01609
1949     45     0.00798
1949     46     0.00386
1949     47     0.00217
1949     48     0.00132
1949     49     0.00072
1949     50     0.00034
1949     51     0.00033
1949     52     0.00019
1949     53     0.00017
1949     54     0.00010
1949     55+    0.00028
1950     12-    0.00000
1950     13     0.00000
1950     14     0.00005
1950     15     0.00026
1950     16     0.00170
1950     17     0.00666
1950     18     0.01779
1950     19     0.04153
1950     20     0.07886
1950     21     0.12643
1950     22     0.16798
1950     23     0.20887
1950     24     0.23497
1950     25     0.24419
1950     26     0.24782
1950     27     0.24160
1950     28     0.23463
1950     29     0.22173
1950     30     0.21046
1950     31     0.18652
1950     32     0.17886
1950     33     0.16129
1950     34     0.14883
1950     35     0.13255
1950     36     0.11920
1950     37     0.10404
1950     38     0.09139
1950     39     0.07746
1950     40     0.06198
1950     41     0.04730
1950     42     0.03309
1950     43     0.02091
