time,delivery_type,total
00:00,1,8201
00:00,2,2452
00:05,1,7985
00:05,2,2267
00:10,1,7954
00:10,2,2447
00:15,1,8299
00:15,2,2266
00:20,1,7902
00:20,2,2252
00:25,1,8093
00:25,2,2270
00:30,1,8081
00:30,2,2211
00:35,1,7797
00:35,2,2156
00:40,1,8034
00:40,2,2176
00:45,1,7915
00:45,2,2097
00:50,1,7889
00:50,2,2085
00:55,1,7866
00:55,2,2094
01:00,1,7941
01:00,2,2135
01:05,1,7812
01:05,2,2066
01:10,1,7746
01:10,2,2016
01:15,1,7887
01:15,2,1998
01:20,1,7931
01:20,2,1983
01:25,1,7744
01:25,2,1916
01:30,1,7993
01:30,2,1905
01:35,1,7850
01:35,2,1928
01:40,1,7818
01:40,2,1943
01:45,1,7848
01:45,2,1994
01:50,1,7634
01:50,2,1825
01:55,1,7832
01:55,2,1854
02:00,1,7716
02:00,2,1900
02:05,1,7809
02:05,2,1943
02:10,1,7703
02:10,2,1813
02:15,1,7574
02:15,2,1782
02:20,1,7811
02:20,2,1794
02:25,1,7570
02:25,2,1811
02:30,1,7879
02:30,2,1863
02:35,1,7635
02:35,2,1783
02:40,1,7754
02:40,2,1781
02:45,1,7851
02:45,2,1760
02:50,1,7645
02:50,2,1759
02:55,1,7771
02:55,2,1714
03:00,1,7689
03:00,2,1773
03:05,1,7562
03:05,2,1765
03:10,1,7617
03:10,2,1672
03:15,1,7767
03:15,2,1698
03:20,1,7869
03:20,2,1697
03:25,1,7662
03:25,2,1636
03:30,1,7768
03:30,2,1748
03:35,1,7689
03:35,2,1695
03:40,1,7849
03:40,2,1727
03:45,1,7654
03:45,2,1727
03:50,1,7530
03:50,2,1723
03:55,1,7529
03:55,2,1702
04:00,1,7798
04:00,2,1694
04:05,1,7629
04:05,2,1664
04:10,1,7666
04:10,2,1666
04:15,1,7523
04:15,2,1668
04:20,1,7754
04:20,2,1778
04:25,1,7564
04:25,2,1571
04:30,1,7567
04:30,2,1665
04:35,1,7662
04:35,2,1686
04:40,1,7565
04:40,2,1791
04:45,1,7837
04:45,2,1773
04:50,1,7479
