country_txt,nkill,nwound,regions
Afghanistan,6119.0,6485.0,['Asia']
Albania,0.0,0.0,['Europe & Russia']
Algeria,9.0,2.0,['Africa & Middle East']
Angola,0.0,0.0,['Africa & Middle East']
Argentina,0.0,2.0,['South America']
Armenia,6.0,1.0,['Asia']
Australia,0.0,1.0,['Australasia & Oceania']
Austria,0.0,0.0,['Europe & Russia']
Azerbaijan,1.0,1.0,['Asia']
Bahrain,1.0,2.0,['Africa & Middle East']
Bangladesh,76.0,90.0,['Asia']
Belgium,36.0,276.0,['Europe & Russia']
Brazil,1.0,0.0,['South America']
Bulgaria,0.0,1.0,['Europe & Russia']
Burkina Faso,62.0,40.0,['Africa & Middle East']
Burundi,74.0,213.0,['Africa & Middle East']
Cameroon,245.0,324.0,['Africa & Middle East']
Canada,1.0,34.0,['North & Central America']
Central African Republic,189.0,173.0,['Africa & Middle East']
Chad,22.0,68.0,['Africa & Middle East']
Chile,0.0,4.0,['South America']
China,13.0,18.0,['Asia']
Colombia,38.0,60.0,['South America']
Cyprus,0.0,0.0,['Europe & Russia']
Czech Republic,0.0,1.0,['Europe & Russia']
Democratic Republic of the Congo,532.0,176.0,['Africa & Middle East']
Denmark,1.0,3.0,['Europe & Russia']
Ecuador,1.0,7.0,['South America']
Egypt,606.0,626.0,['Africa & Middle East']
Ethiopia,279.0,83.0,['Africa & Middle East']
Finland,0.0,0.0,['Europe & Russia']
France,95.0,470.0,['Europe & Russia']
Georgia,1.0,7.0,['Asia']
Germany,27.0,117.0,['Europe & Russia']
Ghana,0.0,0.0,['Africa & Middle East']
Greece,66.0,2.0,['Europe & Russia']
Guinea,1.0,0.0,['Africa & Middle East']
Guyana,0.0,0.0,['South America']
Haiti,7.0,,['North & Central America']
Honduras,2.0,0.0,['North & Central America']
Hungary,0.0,2.0,['Europe & Russia']
India,462.0,784.0,['Asia']
Indonesia,22.0,35.0,['Asia']
Iran,12.0,8.0,['Africa & Middle East']
Iraq,12187.0,14285.0,['Africa & Middle East']
Ireland,2.0,3.0,['Europe & Russia']
Israel,16.0,175.0,['Africa & Middle East']
Italy,1.0,1.0,['Europe & Russia']
Ivory Coast,22.0,33.0,['Africa & Middle East']
Japan,19.0,26.0,['Asia']
Jordan,35.0,65.0,['Africa & Middle East']
Kazakhstan,10.0,11.0,['Asia']
Kenya,72.0,69.0,['Africa & Middle East']
Kosovo,0.0,0.0,['Europe & Russia']
Kuwait,1.0,1.0,['Africa & Middle East']
Kyrgyzstan,1.0,5.0,['Asia']
Laos,3.0,15.0,['Asia']
Lebanon,25.0,74.0,['Africa & Middle East']
Libya,631.0,737.0,['Africa & Middle East']
Madagascar,3.0,91.0,['Africa & Middle East']
Malaysia,6.0,9.0,['Asia']
Maldives,0.0,3.0,['Asia']
Mali,176.0,220.0,['Africa & Middle East']
Mexico,4.0,0.0,['North & Central America']
Moldova,0.0,0.0,['Europe & Russia']
Mozambique,62.0,83.0,['Africa & Middle East']
Myanmar,73.0,58.0,['Asia']
Nepal,5.0,15.0,['Asia']
Netherlands,1.0,3.0,['Europe & Russia']
New Zealand,0.0,0.0,['Australasia & Oceania']
Niger,184.0,139.0,['Africa & Middle East']
Nigeria,2164.0,1155.0,['Africa & Middle East']
Pakistan,1112.0,1894.0,['Asia']
Panama,0.0,0.0,['North & Central America']
Paraguay,10.0,2.0,['South America']
Peru,11.0,7.0,['South America']
Philippines,411.0,720.0,['Asia']
Poland,0.0,1.0,['Europe & Russia']
Republic of the Congo,31.0,0.0,['Africa & Middle East']
Russia,64.0,61.0,['Europe & Russia']
Rwanda,0.0,0.0,['Africa & Middle East']
Saudi Arabia,161.0,196.0,['Africa & Middle East']
Sierra Leone,1.0,0.0,['Africa & Middle East']
Slovak Republic,0.0,1.0,['Europe & Russia']
Somalia,1558.0,1275.0,['Africa & Middle East']
South Africa,21.0,11.0,['Africa & Middle East']
South Korea,0.0,0.0,['Asia']
South Sudan,633.0,191.0,['Africa & Middle East']
Spain,0.0,4.0,['Europe & Russia']
Sri Lanka,0.0,2.0,['Asia']
Sudan,182.0,213.0,['Africa & Middle East']
Sweden,0.0,1.0,['Europe & Russia']
Switzerland,0.0,0.0,['Europe & Russia']
Syria,2755.0,2936.0,['Africa & Middle East']
Taiwan,0.0,0.0,['Asia']
Tajikistan,1.0,0.0,['Asia']
Tanzania,3.0,2.0,['Africa & Middle East']
Thailand,120.0,385.0,['Asia']
Tunisia,71.0,26.0,['Africa & Middle East']
Turkey,1004.0,2772.0,['Africa & Middle East']
Uganda,75.0,19.0,['Africa & Middle East']
Ukraine,48.0,39.0,['Europe & Russia']
United Kingdom,9.0,20.0,['Europe & Russia']
United States,68.0,139.0,['North & Central America']
Uruguay,1.0,1.0,['South America']
Venezuela,9.0,77.0,['South America']
West Bank and Gaza Strip,90.0,124.0,['Africa & Middle East']
Yemen,1517.0,1340.0,['Africa & Middle East']
