,CHSI_County_Name,Strata_ID_Number,CHSI_State_Name,Population_Density,Min_Population_Density,Max_Population_Density,Population_gap
2018,Mountrail,85,North Dakota,4,1,4,3
1713,Morrill,85,Nebraska,4,1,4,3
1631,Phillips,85,Montana,1,1,4,3
1797,Colfax,85,New Mexico,4,1,4,3
2390,Harding,85,South Dakota,0,1,4,3
2368,Butte,85,South Dakota,4,1,4,3
1623,McCone,85,Montana,1,1,4,3
1647,Treasure,85,Montana,1,1,4,3
2642,Jeff Davis,85,Texas,1,1,4,3
1645,Teton,85,Montana,3,1,4,3
2727,Schleicher,85,Texas,2,1,4,3
2729,Shackelford,85,Texas,3,1,4,3
1804,Harding,85,New Mexico,0,1,4,3
1732,Sheridan,85,Nebraska,2,1,4,3
1726,Rock,85,Nebraska,2,1,4,3
1646,Toole,85,Montana,3,1,4,3
2141,Cimarron,85,Oklahoma,2,1,4,3
2790,Piute,85,Utah,2,1,4,3
1599,Broadwater,85,Montana,4,1,4,3
236,Trinity,85,California,4,1,4,3
1667,Cherry,85,Nebraska,1,1,4,3
578,Lemhi,85,Idaho,2,1,4,3
2000,Dunn,85,North Dakota,2,1,4,3
2762,Wheeler,85,Texas,5,1,4,3
208,Modoc,85,California,2,1,4,3
87,Skagway-Hoonah-Angoon,80,Alaska,0,0,5,5
2375,Custer,80,South Dakota,5,0,5,5
85,Prince of Wales-Outer Ketchikan,80,Alaska,1,0,5,5
917,Gove,79,Kansas,3,1,5,4
2700,Oldham,80,Texas,1,0,5,5
88,Southeast Fairbanks,80,Alaska,0,0,5,5
930,Jewell,81,Kansas,4,2,5,3
923,Hamilton,81,Kansas,3,2,5,3
2693,Motley,87,Texas,1,1,5,4
927,Hodgeman,79,Kansas,2,1,5,4
2656,Kinney,87,Texas,2,1,5,4
2706,Pecos,86,Texas,3,1,5,4
918,Graham,81,Kansas,3,2,5,3
2712,Reagan,80,Texas,3,0,5,5
560,Butte,80,Idaho,1,0,5,5
2973,Lincoln,81,Washington,4,2,5,3
2981,Skamania,80,Washington,6,0,5,5
3121,Carbon,80,Wyoming,2,0,5,5
3122,Converse,80,Wyoming,3,0,5,5
566,Clearwater,80,Idaho,3,0,5,5
2958,Columbia,84,Washington,5,1,5,4
3125,Goshen,84,Wyoming,6,1,5,4
3127,Johnson,81,Wyoming,2,2,5,3
3131,Niobrara,84,Wyoming,1,1,5,4
3133,Platte,81,Wyoming,4,2,5,3
932,Kearny,80,Kansas,5,0,5,5
556,Boise,80,Idaho,4,0,5,5
550,Adams,80,Idaho,3,0,5,5
2963,Garfield,79,Washington,3,1,5,4
2654,Kimble,87,Texas,4,1,5,4
67,Aleutians East,80,Alaska,0,0,5,5
910,Elk,87,Kansas,5,1,5,4
300,Sedgwick,81,Colorado,5,2,5,3
1604,Custer,84,Montana,3,1,5,4
297,Saguache,86,Colorado,2,1,5,4
1601,Carter,84,Montana,0,1,5,4
1600,Carbon,84,Montana,5,1,5,4
1749,Esmeralda,80,Nevada,0,0,5,5
1598,Blaine,86,Montana,2,1,5,4
290,Phillips,81,Colorado,7,2,5,3
1755,Mineral,80,Nevada,1,0,5,5
2374,Corson,86,South Dakota,2,1,5,4
1606,Dawson,84,Montana,4,1,5,4
2377,Day,84,South Dakota,6,1,5,4
2687,Mills,87,Texas,7,1,5,4
2638,Irion,80,Texas,2,0,5,5
2684,Menard,87,Texas,2,1,5,4
2679,Martin,86,Texas,5,1,5,4
2676,McMullen,84,Texas,1,1,5,4
591,Valley,80,Idaho,2,0,5,5
3126,Hot Springs,81,Wyoming,2,2,5,3
894,Chase,84,Kansas,4,1,5,4
70,Bethel,86,Alaska,0,1,5,4
897,Cheyenne,81,Kansas,3,2,5,3
898,Clark,79,Kansas,2,1,5,4
902,Comanche,81,Kansas,2,2,5,3
75,Haines,80,Alaska,1,0,5,5
905,Decatur,81,Kansas,4,2,5,3
2662,La Salle,86,Texas,4,1,5,4
909,Edwards,81,Kansas,5,2,5,3
2680,Mason,87,Texas,4,1,5,4
2635,Hudspeth,86,Texas,1,1,5,4
2781,Duchesne,86,Utah,5,1,5,4
2793,San Juan,86,Utah,2,1,5,4
950,Morton,80,Kansas,4,0,5,5
953,Ness,79,Kansas,3,1,5,4
2416,Spink,84,South Dakota,5,1,5,4
2415,Shannon,86,South Dakota,7,1,5,4
2414,Sanborn,81,South Dakota,4,2,5,3
936,Lane,79,Kansas,3,1,5,4
956,Osborne,81,Kansas,5,2,5,3
2412,Potter,81,South Dakota,3,2,5,3
2411,Perkins,84,South Dakota,1,1,5,4
2407,Miner,84,South Dakota,5,1,5,4
2406,Mellette,86,South Dakota,2,1,5,4
962,Rawlins,81,Kansas,2,2,5,3
2425,Ziebach,86,South Dakota,1,1,5,4
2526,Armstrong,79,Texas,2,1,5,4
2393,Hyde,84,South Dakota,2,1,5,4
2596,Fisher,87,Texas,5,1,5,4
2583,Dickens,87,Texas,3,1,5,4
2589,Edwards,86,Texas,1,1,5,4
2383,Faulk,81,South Dakota,2,2,5,3
2598,Foard,87,Texas,2,1,5,4
2388,Hand,84,South Dakota,2,1,5,4
2381,Edmunds,81,South Dakota,4,2,5,3
2382,Fall River,84,South Dakota,4,1,5,4
938,Lincoln,81,Kansas,5,2,5,3
2575,Culberson,86,Texas,1,1,5,4
2616,Hall,87,Texas,4,1,5,4
2379,Dewey,86,South Dakota,3,1,5,4
2585,Donley,87,Texas,4,1,5,4
2396,Jones,81,South Dakota,1,2,5,3
2862,Highland,81,Virginia,6,2,5,3
2573,Crockett,86,Texas,1,1,5,4
2532,Baylor,87,Texas,4,1,5,4
2713,Real,87,Texas,4,1,5,4
2715,Reeves,86,Texas,4,1,5,4
588,Shoshone,87,Idaho,5,1,5,4
2726,San Saba,87,Texas,5,1,5,4
2731,Sherman,80,Texas,3,0,5,5
585,Owyhee,86,Idaho,1,1,5,4
567,Custer,80,Idaho,1,0,5,5
2736,Sterling,80,Texas,1,0,5,5
2744,Throckmorton,84,Texas,2,1,5,4
1743,Wheeler,79,Nebraska,1,1,5,4
2782,Emery,80,Utah,2,0,5,5
573,Idaho,84,Idaho,2,1,5,4
2788,Millard,80,Utah,2,0,5,5
2403,McPherson,84,South Dakota,2,1,5,4
2791,Rich,80,Utah,2,0,5,5
934,Kiowa,81,Kansas,4,2,5,3
83,North Slope,80,Alaska,0,0,5,5
2618,Hansford,80,Texas,6,0,5,5
2394,Jackson,86,South Dakota,2,1,5,4
2571,Cottle,87,Texas,2,1,5,4
2568,Concho,87,Texas,4,1,5,4
2395,Jerauld,81,South Dakota,4,2,5,3
2404,Marshall,81,South Dakota,5,2,5,3
2561,Coke,84,Texas,4,1,5,4
2560,Cochran,86,Texas,4,1,5,4
2401,Lyman,86,South Dakota,2,1,5,4
2542,Brewster,86,Texas,1,1,5,4
945,Meade,79,Kansas,5,1,5,4
2737,Stonewall,84,Texas,1,1,5,4
303,Washington,81,Colorado,2,2,5,3
921,Greeley,79,Kansas,2,1,5,4
1719,Perkins,79,Nebraska,3,1,5,4
2204,Woods,84,Oklahoma,7,1,5,4
2206,Baker,84,Oregon,5,1,5,4
2216,Gilliam,79,Oregon,1,1,5,4
2217,Grant,80,Oregon,2,0,5,5
968,Rush,81,Kansas,5,2,5,3
2237,Wallowa,84,Oregon,2,1,5,4
2240,Wheeler,81,Oregon,1,2,5,3
2362,Bennett,86,South Dakota,3,1,5,4
2367,Buffalo,86,South Dakota,4,1,5,4
2369,Campbell,84,South Dakota,2,1,5,4
2150,Dewey,84,Oklahoma,5,1,5,4
2009,Kidder,84,North Dakota,2,1,5,4
983,Trego,81,Kansas,3,2,5,3
977,Smith,81,Kansas,5,2,5,3
2132,Beaver,79,Oklahoma,3,1,5,4
2012,McHenry,84,North Dakota,3,1,5,4
2013,McIntosh,84,North Dakota,3,1,5,4
1327,Cook,79,Minnesota,4,1,5,4
2019,Nelson,81,North Dakota,3,2,5,3
2020,Oliver,80,North Dakota,3,0,5,5
2022,Pierce,81,North Dakota,4,2,5,3
2025,Renville,79,North Dakota,3,1,5,4
2028,Sargent,79,North Dakota,5,1,5,4
2029,Sheridan,84,North Dakota,1,1,5,4
2030,Sioux,86,North Dakota,4,1,5,4
2031,Slope,80,North Dakota,1,0,5,5
2033,Steele,79,North Dakota,3,1,5,4
2035,Towner,81,North Dakota,2,2,5,3
2011,Logan,84,North Dakota,2,1,5,4
978,Stafford,81,Kansas,6,2,5,3
2158,Harper,81,Oklahoma,3,2,5,3
2155,Grant,84,Oklahoma,5,1,5,4
245,Archuleta,80,Colorado,9,0,5,5
1988,Adams,81,North Dakota,2,2,5,3
1991,Billings,80,North Dakota,1,0,5,5
256,Custer,80,Colorado,5,0,5,5
255,Crowley,87,Colorado,7,1,5,4
1734,Sioux,81,Nebraska,1,2,5,3
2006,Grant,87,North Dakota,2,1,5,4
1185,Piscataquis,84,Maine,4,1,5,4
2002,Emmons,84,North Dakota,3,1,5,4
2001,Eddy,81,North Dakota,4,2,5,3
229,Sierra,79,California,4,1,5,4
1820,Sierra,87,New Mexico,3,1,5,4
251,Cheyenne,79,Colorado,1,1,5,4
1821,Socorro,86,New Mexico,3,1,5,4
1999,Divide,81,North Dakota,2,2,5,3
1270,Keweenaw,81,Michigan,4,2,5,3
1992,Bottineau,81,North Dakota,4,2,5,3
1998,Dickey,84,North Dakota,5,1,5,4
1823,Torrance,86,New Mexico,5,1,5,4
1997,Cavalier,81,North Dakota,3,2,5,3
1994,Burke,81,North Dakota,2,2,5,3
1993,Bowman,81,North Dakota,3,2,5,3
246,Baca,84,Colorado,2,1,5,4
1846,Hamilton,79,New York,3,1,5,4
2008,Hettinger,84,North Dakota,2,1,5,4
1294,Ontonagon,81,Michigan,6,2,5,3
2003,Foster,81,North Dakota,6,2,5,3
2010,LaMoure,81,North Dakota,4,2,5,3
2151,Ellis,84,Oklahoma,3,1,5,4
2039,Wells,81,North Dakota,4,2,5,3
197,Inyo,81,California,2,2,5,3
2007,Griggs,81,North Dakota,4,2,5,3
270,Huerfano,87,Colorado,5,1,5,4
1634,Powell,86,Montana,3,1,5,4
1635,Prairie,84,Montana,1,1,5,4
1689,Grant,79,Nebraska,1,1,5,4
1694,Hayes,79,Nebraska,1,1,5,4
1697,Hooker,84,Nebraska,1,1,5,4
1703,Keya Paha,84,Nebraska,1,1,5,4
282,Mineral,79,Colorado,1,1,5,4
1757,Pershing,80,Nevada,1,0,5,5
1760,White Pine,80,Nevada,1,0,5,5
279,Lincoln,84,Colorado,2,1,5,4
278,Las Animas,87,Colorado,3,1,5,4
1794,Catron,87,New Mexico,0,1,5,4
273,Kiowa,79,Colorado,1,1,5,4
1633,Powder River,84,Montana,1,1,5,4
1799,De Baca,87,New Mexico,1,1,5,4
2371,Clark,84,South Dakota,4,1,5,4
1350,Lake of the Woods,79,Minnesota,3,1,5,4
268,Gunnison,80,Colorado,4,0,5,5
1803,Guadalupe,86,New Mexico,1,1,5,4
1805,Hidalgo,86,New Mexico,1,1,5,4
283,Moffat,80,Colorado,3,0,5,5
1347,Koochiching,81,Minnesota,4,2,5,3
1426,Issaquena,86,Mississippi,5,1,5,4
1597,Big Horn,86,Montana,3,1,5,4
1704,Kimball,79,Nebraska,4,1,5,4
1708,Logan,79,Nebraska,1,1,5,4
1709,Loup,79,Nebraska,1,1,5,4
1346,Kittson,81,Minnesota,4,2,5,3
271,Jackson,80,Colorado,1,0,5,5
1629,Park,84,Montana,6,1,5,4
1349,Lake,79,Minnesota,5,1,5,4
1626,Mineral,86,Montana,3,1,5,4
1807,Lincoln,87,New Mexico,4,1,5,4
1628,Musselshell,87,Montana,2,1,5,4
1644,Sweet Grass,81,Montana,2,2,5,3
1648,Valley,84,Montana,1,1,5,4
1649,Wheatland,87,Montana,1,1,5,4
1650,Wibaux,87,Montana,1,1,5,4
1654,Arthur,81,Nebraska,1,2,5,3
1643,Stillwater,81,Montana,5,2,5,3
1659,Boyd,81,Nebraska,4,2,5,3
1674,Dawes,84,Nebraska,6,1,5,4
1676,Deuel,79,Nebraska,5,1,5,4
1680,Dundy,79,Nebraska,2,1,5,4
1686,Garden,79,Nebraska,1,1,5,4
1687,Garfield,84,Nebraska,3,1,5,4
1655,Banner,80,Nebraska,1,0,5,5
1660,Brown,84,Nebraska,3,1,5,4
1688,Gosper,79,Nebraska,4,1,5,4
1625,Meagher,87,Montana,1,1,5,4
1618,Judith Basin,84,Montana,1,1,5,4
1605,Daniels,81,Montana,1,2,5,3
1616,Hill,86,Montana,6,1,5,4
1624,Madison,84,Montana,2,1,5,4
