location,lat,long,score
"Waffle House-Duluth,GA",33.991269,-84.153232,8
"Waffle House-Biloxi,MS",30.393627,-88.942691,3
"Waffle House-Pearl,MS",32.269078,-90.13518,3
"Waffle House-Memphis,TN",35.155903,-89.885466,2
"Waffle House-Lumberton,TX",30.242025,-94.195967,2
"Waffle House-Troy,AL",31.793855,-85.9791,9
"Waffle House-Middletown,DE",39.449629,-75.727768,4
"Waffle House-Darien,GA",31.386768,-81.427065,8
"Waffle House-Clinton,TN",36.0888062,-84.1717987,7
"Waffle House-Alabaster,AL",33.232558,-86.810034,9
"Waffle House-Albertville,AL",34.277329,-86.203102,6
"Waffle House-Alexandria,AL",33.781237,-85.897571,7
"Waffle House-Anniston,AL",33.664183,-85.82691,8
"Waffle House-Athens,AL",34.782688,-86.938264,10
"Waffle House-Atmore,AL",31.072156,-87.486071,9
"Waffle House-Attalla,AL",34.018108,-86.073975,9
"Waffle House-Attalla,AL",33.997137,-86.094351,7
"Waffle House-Auburn,AL",32.609088,-85.481977,7
"Waffle House-Auburn,AL",32.625655,-85.444521,10
"Waffle House-Auburn,AL",32.563899,-85.503345,8
"Waffle House-Auburn,AL",32.60794,-85.43032,7
"Waffle House-Bay Minette,AL",30.878354,-87.783863,6
"Waffle House-Bayou La Batre,AL",30.419271,-88.244206,10
"Waffle House-Bessemer,AL",33.33704,-86.917275,8
"Waffle House-Bessemer,AL",33.366189,-87.004126,8
"Waffle House-Bessemer,AL",33.3964157,-86.9686584,10
"Waffle House-Birmingham,AL",33.501524,-86.796907,6
"Waffle House-Birmingham,AL",33.597146,-86.644819,6
"Waffle House-Birmingham,AL",33.507804,-86.80472,8
"Waffle House-Birmingham,AL",33.371325,-86.800159,10
"Waffle House-Birmingham,AL",33.414835,-86.665702,9
"Waffle House-Birmingham,AL",33.588361,-86.698895,10
"Waffle House-Boaz,AL",34.198751,-86.151871,9
"Waffle House-Calera,AL",33.147916,-86.749224,6
"Waffle House-Center Point,AL",33.6427,-86.683779,5
"Waffle House-Centre,AL",34.161749,-85.715896,10
"Waffle House-Childersburg,AL",33.266142,-86.351762,5
"Waffle House-Clanton,AL",32.801415,-86.577506,6
"Waffle House-Cullman,AL",34.115092,-86.864278,9
"Waffle House-Cullman,AL",34.203755,-86.875834,5
"Waffle House-Daleville,AL",31.299883,-85.725882,6
"Waffle House-Daphne,AL",30.64894,-87.912476,8
"Waffle House-Daphne,AL",30.674185,-87.852427,6
"Waffle House-Daphne,AL",30.655141,-87.904628,10
"Waffle House-Decatur,AL",34.571935,-87.014803,7
"Waffle House-Decatur,AL",34.56879,-86.973265,10
"Waffle House-Decatur,AL",34.536329,-86.909698,7
"Waffle House-Decatur,AL",34.607834,-86.979408,6
"Waffle House-Dothan,AL",31.217406,-85.362736,5
"Waffle House-Dothan,AL",31.25606,-85.38805,9
"Waffle House-Dothan,AL",31.18596,-85.397366,9
"Waffle House-Dothan,AL",31.215517,-85.430612,6
"Waffle House-Dothan,AL",31.248443,-85.425592,5
"Waffle House-Dothan,AL",31.234204,-85.453399,7
"Waffle House-Enterprise,AL",31.321492,-85.831036,8
"Waffle House-Eufaula,AL",31.8724,-85.154813,5
"Waffle House-Evergreen,AL",31.455469,-86.969119,8
"Waffle House-Fairfield,AL",33.464398,-86.91063,10
"Waffle House-Fairhope,AL",30.515073,-87.886156,6
"Waffle House-Florence,AL",34.828431,-87.63627,6
"Waffle House-Foley,AL",30.40751,-87.647599,7
"Waffle House-Foley,AL",30.376672,-87.683327,9
"Waffle House-Ft Payne,AL",34.4374,-85.750705,7
