airline,incidents_type,number
Air France,incidents_85_99,14
Air India,incidents_85_99,2
American,incidents_85_99,21
Delta / Northwest,incidents_85_99,24
Ethiopian Airlines,incidents_85_99,25
Pakistan International,incidents_85_99,8
SWISS,incidents_85_99,2
Thai Airways,incidents_85_99,8
United / Continental,incidents_85_99,19
US Airways,incidents_85_99,16
Air France,fatal_accidents_85_99,4
Air India,fatal_accidents_85_99,1
American,fatal_accidents_85_99,5
Delta / Northwest,fatal_accidents_85_99,12
Ethiopian Airlines,fatal_accidents_85_99,5
Pakistan International,fatal_accidents_85_99,3
SWISS,fatal_accidents_85_99,1
Thai Airways,fatal_accidents_85_99,4
United / Continental,fatal_accidents_85_99,8
US Airways,fatal_accidents_85_99,7
Air France,fatalities_85_99,79
Air India,fatalities_85_99,329
American,fatalities_85_99,101
Delta / Northwest,fatalities_85_99,407
Ethiopian Airlines,fatalities_85_99,167
Pakistan International,fatalities_85_99,234
SWISS,fatalities_85_99,229
Thai Airways,fatalities_85_99,308
United / Continental,fatalities_85_99,319
US Airways,fatalities_85_99,224
Air France,incidents_00_14,6
Air India,incidents_00_14,4
American,incidents_00_14,17
Delta / Northwest,incidents_00_14,24
Ethiopian Airlines,incidents_00_14,5
Pakistan International,incidents_00_14,10
SWISS,incidents_00_14,3
Thai Airways,incidents_00_14,2
United / Continental,incidents_00_14,14
US Airways,incidents_00_14,11
Air France,fatal_accidents_00_14,2
Air India,fatal_accidents_00_14,1
American,fatal_accidents_00_14,3
Delta / Northwest,fatal_accidents_00_14,2
Ethiopian Airlines,fatal_accidents_00_14,2
Pakistan International,fatal_accidents_00_14,2
SWISS,fatal_accidents_00_14,0
Thai Airways,fatal_accidents_00_14,1
United / Continental,fatal_accidents_00_14,2
US Airways,fatal_accidents_00_14,2
Air France,fatalities_00_14,337
Air India,fatalities_00_14,158
American,fatalities_00_14,416
Delta / Northwest,fatalities_00_14,51
Ethiopian Airlines,fatalities_00_14,92
Pakistan International,fatalities_00_14,46
SWISS,fatalities_00_14,0
Thai Airways,fatalities_00_14,1
United / Continental,fatalities_00_14,109
US Airways,fatalities_00_14,23
