Country,BeverageTypes,year,alcohol_per_capita_in_litres
Australia,All types,2014,9.71
Australia,Beer,2014,4.01
Australia,Wine,2014,3.64
Australia,Spirits,2014,1.23
Austria,All types,2014,12.32
Austria,Beer,2014,6.25
Austria,Wine,2014,4.37
Austria,Spirits,2014,1.7
Belgium,All types,2014,12.6
Belgium,Beer,2014,6.21
Belgium,Wine,2014,4.53
Belgium,Spirits,2014,1.8
Brazil,All types,2014,7.32
Brazil,Beer,2014,4.64
Brazil,Wine,2014,0.27
Brazil,Spirits,2014,2.39
Canada,All types,2014,8.1
Canada,Beer,2014,3.8
Canada,Wine,2014,2
Canada,Spirits,2014,2
Chile,All types,2014,7.16
Chile,Beer,2014,2.65
Chile,Wine,2014,2.65
Chile,Spirits,2014,1.63
Denmark,All types,2014,9.64
Denmark,Beer,2014,3.61
Denmark,Wine,2014,4.35
Denmark,Spirits,2014,1.6
Germany,All types,2014,11.03
Germany,Beer,2014,5.86
Germany,Wine,2014,3.1
Germany,Spirits,2014,2.07
Ireland,All types,2014,10.75
Ireland,Beer,2014,5.13
Ireland,Wine,2014,2.8
Ireland,Spirits,2014,1.97
New Zealand,All types,2014,9.07
New Zealand,Beer,2014,3.34
New Zealand,Wine,2014,3.15
New Zealand,Spirits,2014,1.48
Switzerland,All types,2014,9.61
Switzerland,Beer,2014,3.16
Switzerland,Wine,2014,4.57
Switzerland,Spirits,2014,1.76
United Kingdom,All types,2014,10.37
United Kingdom,Beer,2014,3.48
United Kingdom,Wine,2014,4.06
United Kingdom,Spirits,2014,2.07
USA,All types,2014,8.82
USA,Beer,2014,4.16
USA,Wine,2014,1.63
USA,Spirits,2014,3.03
Australia,All types,2013,9.87
Australia,Beer,2013,4.04
Australia,Wine,2013,3.7
Australia,Spirits,2013,1.29
Austria,All types,2013,11.82
Austria,Beer,2013,6.03
Austria,Wine,2013,4.09
Austria,Spirits,2013,1.7
Belgium,All types,2013,11.77
Belgium,Beer,2013,5.81
Belgium,Wine,2013,4.26
Belgium,Spirits,2013,1.68
Brazil,All types,2013,7.24
Brazil,Beer,2013,4.45
Brazil,Wine,2013,0.27
Brazil,Spirits,2013,2.49
Canada,All types,2013,8.2
Canada,Beer,2013,3.9
Canada,Wine,2013,2
Canada,Spirits,2013,2.1
Chile,All types,2013,7.2
Chile,Beer,2013,2.6
Chile,Wine,2013,2.65
Chile,Spirits,2013,1.71
Denmark,All types,2013,9.5
Denmark,Beer,2013,3.51
Denmark,Wine,2013,4.33
Denmark,Spirits,2013,1.58
Germany,All types,2013,10.94
Germany,Beer,2013,5.81
Germany,Wine,2013,3.08
Germany,Spirits,2013,2.05
Ireland,All types,2013,10.49
Ireland,Beer,2013,4.99
Ireland,Wine,2013,2.64
Ireland,Spirits,2013,2.01
New Zealand,All types,2013,9.18
New Zealand,Beer,2013,3.45
New Zealand,Wine,2013,3.01
New Zealand,Spirits,2013,1.52
Switzerland,All types,2013,9.73
Switzerland,Beer,2013,3.17
Switzerland,Wine,2013,4.69
Switzerland,Spirits,2013,1.76
United Kingdom,All types,2013,10.32
United Kingdom,Beer,2013,3.38
United Kingdom,Wine,2013,4.03
United Kingdom,Spirits,2013,2.09
USA,All types,2013,8.82
USA,Beer,2013,4.24
USA,Wine,2013,1.59
