Blended Account,Year,2000,2009,2010,2011,2012,2013,2014
Infectious and parasitic diseases,2000,24.25,54.72,59.14,63.35,68.48,71.38,85.36
Neoplasms,2000,60.11,114.24,116,121.21,124.4,126.36,137.4
Endocrine; nutritional; and metabolic diseases and immunity disorders,2000,52.86,120.3,125.4,131.03,136.62,141.91,157.53
Mental illness ,2000,43.91,76.23,79.11,82.72,87.65,89.54,101.53
Diseases of the nervous system and sense organs,2000,60.3,112.26,119.52,125.92,131.17,135.97,146.4
Diseases of the circulatory system,2000,151.15,228.4,234.71,233.6,234.88,234.73,245.32
Diseases of the respiratory system,2000,93.2,143.27,144.6,152.41,157.3,161.49,162.47
Diseases of the digestive system,2000,55.69,95.42,100.81,103.27,108.08,114.51,120.81
Diseases of the genitourinary system,2000,52.87,103.84,104.57,106.36,109.49,114.05,120.88
Complications of pregnancy; childbirth; and the puerperium,2000,25.97,36.83,39.42,41.14,44.74,47.52,47.43
Diseases of the skin and subcutaneous organs,2000,21.44,37.78,38.19,40.12,42.83,45.38,48.45
Diseases of the musculoskeletal system and connective tissue,2000,77.67,157.43,170.65,177.41,183.44,190.79,201.79
Injury and poisoning,2000,66.24,104.53,109.91,117.17,118.58,118.66,124.56
Symptoms; signs; and ill-defined conditions ,2000,82.77,199.09,210.85,226.5,238.78,252.44,266.35
Diseases of the blood and blood-forming organs,2000,8.49,21.4,20.54,30.11,41.77,32.37,22.12
Congenital anomalies ,2000,5.47,9.38,7.69,7.45,7.36,7.65,7.84
Certain conditions originating in the perinatal period,2000,4.62,8.28,6.42,7.51,8.93,9.35,7.91
Residual codes; unclassified; all E codes,2000,13.71,33,34.86,37.44,40.71,40.78,42.86
Infectious and parasitic diseases,2001,27.24,,,,,,
Neoplasms,2001,67.01,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2001,62.37,,,,,,
Mental illness ,2001,45.82,,,,,,
Diseases of the nervous system and sense organs,2001,66.79,,,,,,
Diseases of the circulatory system,2001,162.11,,,,,,
Diseases of the respiratory system,2001,98.9,,,,,,
Diseases of the digestive system,2001,60.21,,,,,,
Diseases of the genitourinary system,2001,56.92,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2001,25.78,,,,,,
Diseases of the skin and subcutaneous organs,2001,23.24,,,,,,
Diseases of the musculoskeletal system and connective tissue,2001,89.39,,,,,,
Injury and poisoning,2001,72.49,,,,,,
Symptoms; signs; and ill-defined conditions ,2001,94.31,,,,,,
Diseases of the blood and blood-forming organs,2001,10.55,,,,,,
Congenital anomalies ,2001,4.41,,,,,,
Certain conditions originating in the perinatal period,2001,5.1,,,,,,
Residual codes; unclassified; all E codes,2001,15.76,,,,,,
Infectious and parasitic diseases,2002,26.43,,,,,,
Neoplasms,2002,71.93,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2002,72.39,,,,,,
Mental illness ,2002,48.01,,,,,,
Diseases of the nervous system and sense organs,2002,73.47,,,,,,
Diseases of the circulatory system,2002,171.94,,,,,,
Diseases of the respiratory system,2002,105.86,,,,,,
Diseases of the digestive system,2002,65.72,,,,,,
Diseases of the genitourinary system,2002,61.81,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2002,26.28,,,,,,
Diseases of the skin and subcutaneous organs,2002,25.53,,,,,,
Diseases of the musculoskeletal system and connective tissue,2002,99.4,,,,,,
Injury and poisoning,2002,76.2,,,,,,
Symptoms; signs; and ill-defined conditions ,2002,112.6,,,,,,
Diseases of the blood and blood-forming organs,2002,13.31,,,,,,
Congenital anomalies ,2002,5.09,,,,,,
Certain conditions originating in the perinatal period,2002,6.87,,,,,,
Residual codes; unclassified; all E codes,2002,18.06,,,,,,
Infectious and parasitic diseases,2003,29.43,,,,,,
Neoplasms,2003,76.09,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2003,77.91,,,,,,
Mental illness ,2003,50.99,,,,,,
Diseases of the nervous system and sense organs,2003,76.71,,,,,,
Diseases of the circulatory system,2003,183.72,,,,,,
Diseases of the respiratory system,2003,113.14,,,,,,
Diseases of the digestive system,2003,70.66,,,,,,
Diseases of the genitourinary system,2003,67.49,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2003,28.7,,,,,,
Diseases of the skin and subcutaneous organs,2003,26.82,,,,,,
Diseases of the musculoskeletal system and connective tissue,2003,108.23,,,,,,
Injury and poisoning,2003,80.57,,,,,,
Symptoms; signs; and ill-defined conditions ,2003,125.44,,,,,,
Diseases of the blood and blood-forming organs,2003,13.5,,,,,,
Congenital anomalies ,2003,6.01,,,,,,
Certain conditions originating in the perinatal period,2003,6.94,,,,,,
Residual codes; unclassified; all E codes,2003,18.65,,,,,,
Infectious and parasitic diseases,2004,29.88,,,,,,
Neoplasms,2004,84.06,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2004,87.04,,,,,,
Mental illness ,2004,54.97,,,,,,
Diseases of the nervous system and sense organs,2004,79.77,,,,,,
Diseases of the circulatory system,2004,198.79,,,,,,
Diseases of the respiratory system,2004,113.22,,,,,,
Diseases of the digestive system,2004,76.19,,,,,,
Diseases of the genitourinary system,2004,75.73,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2004,30.35,,,,,,
Diseases of the skin and subcutaneous organs,2004,27.45,,,,,,
Diseases of the musculoskeletal system and connective tissue,2004,119.87,,,,,,
Injury and poisoning,2004,82.88,,,,,,
Symptoms; signs; and ill-defined conditions ,2004,142.94,,,,,,
Diseases of the blood and blood-forming organs,2004,14.38,,,,,,
Congenital anomalies ,2004,5.68,,,,,,
Certain conditions originating in the perinatal period,2004,4.67,,,,,,
Residual codes; unclassified; all E codes,2004,20.73,,,,,,
Infectious and parasitic diseases,2005,35.45,,,,,,
Neoplasms,2005,88.53,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2005,94.58,,,,,,
Mental illness ,2005,58.09,,,,,,
Diseases of the nervous system and sense organs,2005,83.68,,,,,,
Diseases of the circulatory system,2005,207.39,,,,,,
Diseases of the respiratory system,2005,123.71,,,,,,
Diseases of the digestive system,2005,80.22,,,,,,
Diseases of the genitourinary system,2005,83.68,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2005,29.49,,,,,,
Diseases of the skin and subcutaneous organs,2005,28.44,,,,,,
Diseases of the musculoskeletal system and connective tissue,2005,126.5,,,,,,
Injury and poisoning,2005,84.63,,,,,,
Symptoms; signs; and ill-defined conditions ,2005,150.22,,,,,,
Diseases of the blood and blood-forming organs,2005,19.58,,,,,,
Congenital anomalies ,2005,5.35,,,,,,
Certain conditions originating in the perinatal period,2005,5.49,,,,,,
Residual codes; unclassified; all E codes,2005,23.36,,,,,,
Infectious and parasitic diseases,2006,37.96,,,,,,
Neoplasms,2006,95.42,,,,,,
Endocrine; nutritional; and metabolic diseases and immunity disorders,2006,103.87,,,,,,
Mental illness ,2006,61.26,,,,,,
Diseases of the nervous system and sense organs,2006,90.9,,,,,,
Diseases of the circulatory system,2006,214.48,,,,,,
Diseases of the respiratory system,2006,127.04,,,,,,
Diseases of the digestive system,2006,84.93,,,,,,
Diseases of the genitourinary system,2006,88.14,,,,,,
Complications of pregnancy; childbirth; and the puerperium,2006,32.43,,,,,,
