Blended_Account,Year,Value
Infectious and parasitic diseases,2000,24.25
Neoplasms,2000,60.11
Endocrine; nutritional; and metabolic diseases and immunity disorders,2000,52.86
Mental illness ,2000,43.91
Diseases of the nervous system and sense organs,2000,60.3
Diseases of the circulatory system,2000,151.15
Diseases of the respiratory system,2000,93.2
Diseases of the digestive system,2000,55.69
Diseases of the genitourinary system,2000,52.87
Complications of pregnancy; childbirth; and the puerperium,2000,25.97
Diseases of the skin and subcutaneous organs,2000,21.44
Diseases of the musculoskeletal system and connective tissue,2000,77.67
Injury and poisoning,2000,66.24
Symptoms; signs; and ill-defined conditions ,2000,82.77
Diseases of the blood and blood-forming organs,2000,8.49
Congenital anomalies ,2000,5.47
Certain conditions originating in the perinatal period,2000,4.62
Residual codes; unclassified; all E codes,2000,13.71
Infectious and parasitic diseases,2001,27.24
Neoplasms,2001,67.01
Endocrine; nutritional; and metabolic diseases and immunity disorders,2001,62.37
Mental illness ,2001,45.82
Diseases of the nervous system and sense organs,2001,66.79
Diseases of the circulatory system,2001,162.11
Diseases of the respiratory system,2001,98.9
Diseases of the digestive system,2001,60.21
Diseases of the genitourinary system,2001,56.92
Complications of pregnancy; childbirth; and the puerperium,2001,25.78
Diseases of the skin and subcutaneous organs,2001,23.24
Diseases of the musculoskeletal system and connective tissue,2001,89.39
Injury and poisoning,2001,72.49
Symptoms; signs; and ill-defined conditions ,2001,94.31
Diseases of the blood and blood-forming organs,2001,10.55
Congenital anomalies ,2001,4.41
Certain conditions originating in the perinatal period,2001,5.1
Residual codes; unclassified; all E codes,2001,15.76
Infectious and parasitic diseases,2002,26.43
Neoplasms,2002,71.93
Endocrine; nutritional; and metabolic diseases and immunity disorders,2002,72.39
Mental illness ,2002,48.01
Diseases of the nervous system and sense organs,2002,73.47
Diseases of the circulatory system,2002,171.94
Diseases of the respiratory system,2002,105.86
Diseases of the digestive system,2002,65.72
Diseases of the genitourinary system,2002,61.81
Complications of pregnancy; childbirth; and the puerperium,2002,26.28
Diseases of the skin and subcutaneous organs,2002,25.53
Diseases of the musculoskeletal system and connective tissue,2002,99.4
Injury and poisoning,2002,76.2
Symptoms; signs; and ill-defined conditions ,2002,112.6
Diseases of the blood and blood-forming organs,2002,13.31
Congenital anomalies ,2002,5.09
Certain conditions originating in the perinatal period,2002,6.87
Residual codes; unclassified; all E codes,2002,18.06
Infectious and parasitic diseases,2003,29.43
Neoplasms,2003,76.09
Endocrine; nutritional; and metabolic diseases and immunity disorders,2003,77.91
Mental illness ,2003,50.99
Diseases of the nervous system and sense organs,2003,76.71
Diseases of the circulatory system,2003,183.72
Diseases of the respiratory system,2003,113.14
Diseases of the digestive system,2003,70.66
Diseases of the genitourinary system,2003,67.49
Complications of pregnancy; childbirth; and the puerperium,2003,28.7
Diseases of the skin and subcutaneous organs,2003,26.82
Diseases of the musculoskeletal system and connective tissue,2003,108.23
Injury and poisoning,2003,80.57
Symptoms; signs; and ill-defined conditions ,2003,125.44
Diseases of the blood and blood-forming organs,2003,13.5
Congenital anomalies ,2003,6.01
Certain conditions originating in the perinatal period,2003,6.94
Residual codes; unclassified; all E codes,2003,18.65
Infectious and parasitic diseases,2004,29.88
Neoplasms,2004,84.06
Endocrine; nutritional; and metabolic diseases and immunity disorders,2004,87.04
Mental illness ,2004,54.97
Diseases of the nervous system and sense organs,2004,79.77
Diseases of the circulatory system,2004,198.79
Diseases of the respiratory system,2004,113.22
Diseases of the digestive system,2004,76.19
Diseases of the genitourinary system,2004,75.73
