State,Number_of_drivers_involved_in_fatal_collisions_per_billion_miles,Percentage_Of_Drivers_Involved_In_Fatal_Collisions_Who_Were_Speeding,Percentage_Of_Drivers_Involved_In_Fatal_Collisions_Who_Were_Alcohol-Impaired,Number_Of_Drivers_Involved_In_Fatal_Collisions_Who_Were_Speeding,Number_Of_Drivers_Involved_In_Fatal_Collisions_Who_Were_Alcohol_Impaired
District of Columbia,5.9,34,27,2.006,1.593
Utah,11.3,43,16,4.859,1.808
Minnesota,9.6,23,29,2.208,2.784
Massachusetts,8.2,23,35,1.886,2.87
New Jersey,11.2,16,28,1.792,3.136
Oregon,12.8,33,26,4.224,3.328
California,12,35,28,4.2,3.36
Virginia,12.7,19,27,2.413,3.429
New Hampshire,11.6,35,30,4.06,3.48
Washington,10.6,42,33,4.452,3.498
New York,12.3,32,29,3.936,3.567
Colorado,13.6,37,28,5.032,3.808
Connecticut,10.8,46,36,4.968,3.888
Georgia,15.6,19,25,2.964,3.9
Iowa,15.7,17,25,2.669,3.925
Michigan,14.1,24,28,3.384,3.948
Maryland,12.5,34,32,4.25,4
Vermont,13.6,30,30,4.08,4.08
Indiana,14.5,25,29,3.625,4.205
Rhode Island,11.1,34,38,3.774,4.218
Kansas,17.8,27,24,4.806,4.272
Illinois,12.8,36,34,4.608,4.352
Idaho,15.3,36,29,5.508,4.437
Alaska,18.1,41,25,7.421,4.525
Maine,15.1,38,30,5.738,4.53
Wisconsin,13.8,36,33,4.968,4.554
Nevada,14.7,37,32,5.439,4.704
Ohio,14.1,28,34,3.948,4.794
Delaware,16.2,38,30,6.156,4.86
Kentucky,21.4,19,23,4.066,4.922
New Mexico,18.4,19,27,3.496,4.968
Florida,17.9,21,29,3.759,5.191
Arizona,18.6,35,28,6.51,5.208
North Carolina,16.8,39,31,6.552,5.208
Nebraska,14.9,13,35,1.937,5.215
Mississippi,17.6,15,31,2.64,5.456
Missouri,16.1,43,34,6.923,5.474
Wyoming,17.4,42,32,7.308,5.568
Alabama,18.8,39,30,7.332,5.64
Pennsylvania,18.2,50,31,9.1,5.642
Tennessee,19.5,21,29,4.095,5.655
Oklahoma,19.9,32,29,6.368,5.771
Arkansas,22.4,18,26,4.032,5.824
South Dakota,19.4,31,33,6.014,6.402
West Virginia,23.8,34,28,8.092,6.664
Louisiana,20.5,35,33,7.175,6.765
Hawaii,17.5,54,41,9.45,7.175
Texas,19.4,40,38,7.76,7.372
Montana,21.4,39,44,8.346,9.416
South Carolina,23.9,38,41,9.082,9.799
North Dakota,23.9,23,42,5.497,10.038
