OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
1,California,Pinoville Indian Reservation,Pinoleville Rancheria,06,060058,Mendocino County
2,California,Big Valley Band Of Pomo Indians,Big Valley Rancheria,06,060397,Lake County
3,Louisiana,Coushatta Tribe Of Louisiana,Coushatta Reservation,22,220398,Allen Parish
4,Texas,Kickapoo Traditional Tribe Of Texas,Kickapoo (TX) Reservation,48,480941,Maverick County
5,Texas,Alabama-Coushatta Tribe Of Texas,Alabama-Coushatta Reservation,48,481494,Polk County
6,Florida,Seminole Tribe Of Florida,Seminole (FL) Trust Land,12,120685,Hendry County/Collier County/Broward County
7,Louisiana,Tunica-Biloxi Indians Of Louisiana,Tunica-Biloxi Reservation,22,220304,Avoyelles Parish
8,Louisiana,Chitimacha Tribe Of Louisiana,Chitimacha Reservation,22,220379,St. Mary Parish
9,Arizona,Colorado River Indian Tribe,Colorado River Indian Reservation,04,040123,La Paz County
10,Arizona,"Havasupai Indian Reservation, Tribe Of",Havasupai Reservation,04,040023,Coconino County
11,Arizona,Fort Mojave Indian Tribe,Fort Mojave Reservation_Mohave,04,040133,Mohave County
12,California,Agua Caliente Band Of Cahuilla Indians Tribe,Agua Caliente Indian Reservation,06,060763,Riverside County
13,California,Cabazon Mission Indians,Cabazon Reservation,06,060010,Riverside County
14,California,Fort Mojave Indian Tribe,Fort Mojave Reservation_San Bernardino,06,060743,San Bernardino County
15,Nevada,Fort Mojave Indian Tribe,Fort Mojave Reservation_Clark,32,320036,Clark County
16,New Mexico,Navajo Indian Reservation,Navajo Nation Off-Reservation Trust Land,35,350091,Multiple Counties
17,New Mexico,Acoma Indian Reservation,Acoma Pueblo,35,350089,Multiple Counties
18,New Mexico,"Laguna, Pueblo Of",Laguna Pueblo,35,350003,Multiple Counties
19,New Mexico,"Zuni, Pueblo Of",Zuni Off-Reservation Trust Land,35,350143,Catron County/Cibola County/Mckinley County
20,New Mexico,"Zia, Pueblo Of",Zia Off-Reservation Trust Land,35,350060,Sandoval County
21,Utah,Ute Indian Tribe (Uintah And Ouray Reservation),Ute Mountain Reservation,49,490162,Uintah County
22,New Mexico,Mescalero Apache Indian Reservation,Mescalero Reservation,35,350041,Multiple Counties
23,New Mexico,Picuris Pueblo,Picuris Pueblo,35,350058,Taos County
24,New Mexico,Taos Pueblo,Taos Pueblo,35,350015,Taos County
25,New Mexico,Santa Clara Indian Reservation,Santa Clara Pueblo,35,350151,Multiple Counties
26,New Mexico,"Ohkay Owingeh, Pueblo Of",Ohkay Owingeh,35,350150,Rio Arriba County
27,New Mexico,"Cochiti, Pueblo Of",Pueblo de Cochiti,35,350152,Multiple Counties
28,New Mexico,"San Felipe, Pueblo Of",San Felipe Pueblo,35,350154,Sandoval County
29,New Mexico,"Santo Domingo, Pueblo Of",Santo Domingo Pueblo,35,350081,Multiple Counties
