,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
ALABAMA,AUTAUGA COUNTY,AUTAUGA COUNTY ALL JURISDICTIONS,9/3/14,,,,,,
,,AUTAUGA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,AUTAUGA COUNTY UNINCORPORATED AREAS,9/3/14,,,,,,
,,AUTAUGA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"AUTAUGAVILLE, TOWN OF",9/3/14,,,,,,
,,"AUTAUGAVILLE, TOWN OF Total",,,,,,,
,,"BILLINGSLEY, TOWN OF ",9/3/14,,,,,,
,,"BILLINGSLEY, TOWN OF  Total",,,,,,,
,,"MILLBROOK, CITY OF",9/3/14,,,,,,
,,"MILLBROOK, CITY OF Total",,,,,,,
,,"PRATTVILLE, CITY OF",9/3/14,,,,,,
,,"PRATTVILLE, CITY OF Total",,,,,,,
,AUTAUGA COUNTY Total,,,,,,,,
,BALDWIN COUNTY,BALDWIN COUNTY ALL JURISDICTIONS,7/17/07,,,,,,
,,BALDWIN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BALDWIN COUNTY UNINCORPORATED AREAS,7/17/07,,,,,,
,,BALDWIN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"BAY MINETTE, CITY OF",7/17/07,,,,,,
,,"BAY MINETTE, CITY OF Total",,,,,,,
,,"DAPHNE, CITY OF",7/17/07,,,,,,
,,"DAPHNE, CITY OF Total",,,,,,,
,,"ELBERTA, TOWN OF",7/17/07,,,,,,
,,"ELBERTA, TOWN OF Total",,,,,,,
,,"FAIRHOPE, CITY OF",7/17/07,,,,,,
,,"FAIRHOPE, CITY OF Total",,,,,,,
,,"FOLEY, CITY OF",7/17/07,,,,,,
,,"FOLEY, CITY OF Total",,,,,,,
,,"GULF SHORES, CITY OF",7/17/07,,,,,,
,,"GULF SHORES, CITY OF Total",,,,,,,
,,"LOXLEY, TOWN OF",7/17/07,,,,,,
,,"LOXLEY, TOWN OF Total",,,,,,,
,,"ORANGE BEACH, CITY OF",7/17/07,,,,,,
,,"ORANGE BEACH, CITY OF Total",,,,,,,
,,"PERDIDO BEACH, TOWN OF",7/17/07,,,,,,
,,"PERDIDO BEACH, TOWN OF Total",,,,,,,
,,"ROBERTSDALE, CITY OF",7/17/07,,,,,,
,,"ROBERTSDALE, CITY OF Total",,,,,,,
,,"SILVERHILL, TOWN OF",7/17/07,,,,,,
,,"SILVERHILL, TOWN OF Total",,,,,,,
,,"SPANISH FORT, CITY OF",7/17/07,,,,,,
,,"SPANISH FORT, CITY OF Total",,,,,,,
,,"SUMMERDALE, TOWN OF",7/17/07,,,,,,
,,"SUMMERDALE, TOWN OF Total",,,,,,,
,BALDWIN COUNTY Total,,,,,,,,
,BARBOUR COUNTY,"BAKERHILL, TOWN OF",8/18/09,,,,,,
,,"BAKERHILL, TOWN OF Total",,,,,,,
,,BARBOUR COUNTY ALL JURISDICTIONS,8/18/09,,,,,,
,,BARBOUR COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BARBOUR COUNTY UNINCORPORATED AREAS,8/18/09,,,,,,
,,BARBOUR COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"BLUE SPRINGS, TOWN OF",8/18/09,,,,,,
,,"BLUE SPRINGS, TOWN OF Total",,,,,,,
,,"CLAYTON, TOWN OF",8/18/09,,,,,,
,,"CLAYTON, TOWN OF Total",,,,,,,
,,"CLIO, TOWN OF",8/18/09,,,,,,
,,"CLIO, TOWN OF Total",,,,,,,
,,"EUFAULA, CITY OF",8/18/09,,,,,,
,,"EUFAULA, CITY OF Total",,,,,,,
,,"LOUISVILLE, TOWN OF",8/18/09,,,,,,
,,"LOUISVILLE, TOWN OF Total",,,,,,,
,BARBOUR COUNTY Total,,,,,,,,
,BIBB COUNTY,BIBB COUNTY ALL JURISDICTIONS,8/18/09,,,,,,
,,BIBB COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BIBB COUNTY UNINCORPORATED AREAS,8/18/09,,,,,,
,,BIBB COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"BRENT, CITY OF",8/18/09,,,,,,
,,"BRENT, CITY OF Total",,,,,,,
,,"CENTREVILLE, CITY OF",8/18/09,,,,,,
,,"CENTREVILLE, CITY OF Total",,,,,,,
,,"VANCE, TOWN OF",1/16/14,,,,,,
,,"VANCE, TOWN OF Total",,,,,,,
,,"WEST BLOCTON, TOWN OF",8/18/09,,,,,,
,,"WEST BLOCTON, TOWN OF Total",,,,,,,
,,"WOODSTOCK, TOWN OF",1/16/14,,,,,,
,,"WOODSTOCK, TOWN OF Total",,,,,,,
,BIBB COUNTY Total,,,,,,,,
,BLOUNT COUNTY,"ALLGOOD, TOWN OF",8/3/09,,,,,,
,,"ALLGOOD, TOWN OF Total",,,,,,,
,,"ALTOONA, TOWN OF",8/3/09,,,,,,
,,"ALTOONA, TOWN OF Total",,,,,,,
,,BLOUNT COUNTY ALL JURISDICTIONS,8/3/09,,,,,,
,,BLOUNT COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BLOUNT COUNTY UNINCORPORATED AREAS,8/3/09,,,,,,
,,BLOUNT COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"BLOUNTSVILLE, TOWN OF",8/3/09,,,,,,
,,"BLOUNTSVILLE, TOWN OF Total",,,,,,,
,,"CLEVELAND, TOWN OF",8/3/09,,,,,,
,,"CLEVELAND, TOWN OF Total",,,,,,,
,,"COUNTY LINE, TOWN OF",9/29/06,,,,,,
,,"COUNTY LINE, TOWN OF Total",,,,,,,
,,"HAYDEN, TOWN OF",8/3/09,,,,,,
,,"HAYDEN, TOWN OF Total",,,,,,,
,,"HIGHLAND LAKE, TOWN OF ",8/3/09,,,,,,
,,"HIGHLAND LAKE, TOWN OF  Total",,,,,,,
,,"LOCUST FORK, TOWN OF",8/3/09,,,,,,
,,"LOCUST FORK, TOWN OF Total",,,,,,,
,,"NECTAR, TOWN OF",8/3/09,,,,,,
,,"NECTAR, TOWN OF Total",,,,,,,
,,"ONEONTA, CITY OF",8/3/09,,,,,,
,,"ONEONTA, CITY OF Total",,,,,,,
,,"ROSA, TOWN OF",8/3/09,,,,,,
,,"ROSA, TOWN OF Total",,,,,,,
,,"SNEAD, TOWN OF",8/3/09,,,,,,
,,"SNEAD, TOWN OF Total",,,,,,,
,,"SUSAN MOORE, TOWN OF",8/3/09,,,,,,
,,"SUSAN MOORE, TOWN OF Total",,,,,,,
,BLOUNT COUNTY Total,,,,,,,,
,BULLOCK COUNTY,BULLOCK COUNTY ALL JURISDICTIONS,9/11/09,,,,,,
,,BULLOCK COUNTY ALL JURISDICTIONS Total,,,,,,,
,,BULLOCK COUNTY UNINCORPORATED AREAS,9/11/09,,,,,,
