area,total,unmarried,percentage_u,married,percentage_m,divorce,percentage_d,women,men
national,105542243,22792800,21.5959026,75287859,71.3343367,1456283,1.3798105,,
BJ,1683936,441592,26.2237995,1146869,68.1064482,31017,1.8419346,,
TJ,1002376,230422,22.9875815,709067,70.738625,15442,1.5405397,,
HE,5834172,1190621,20.4077117,4287295,73.4859205,55677,0.9543257,,
SX,2875002,649273,22.583393,2050731,71.3297243,30794,1.0710949,,
NM,1978474,371091,18.7564254,1483349,74.9743995,29268,1.4793219,,
LN,3758493,714427,19.0083366,2722496,72.4358406,106526,2.8342743,,
JL,2235899,434799,19.4462719,1613578,72.1668555,64446,2.8823306,,
HL,3037416,561872,18.4983552,2221556,73.1396687,88710,2.9205746,,
SH,2052771,439304,21.4005362,1484064,72.2956433,41070,2.0007103,,
JS,6569375,1253715,19.0842356,4856390,73.9246884,73878,1.1245819,,
ZJ,4670702,901314,19.2971849,3473628,74.3705764,61086,1.3078548,,
AH,4300760,836138,19.4416336,3149304,73.2266855,42512,0.9884765,,
FJ,2924159,671797,22.9740243,2063142,70.5550553,30949,1.0583898,,
JX,3305199,709337,21.4612494,2372276,71.7740747,35726,1.0809031,,
SD,7779717,1470047,18.895893,5788458,74.4044803,62242,0.8000548,,
HA,7248069,1628960,22.4743997,5142657,70.9520977,65650,0.9057585,,
HB,4460629,946283,21.2141158,3188005,71.4698532,55425,1.2425378,,
HN,4989317,1021150,20.4667292,3562672,71.4060061,72299,1.4490761,,
GD,8010839,2519144,31.4466937,5094474,63.594762,64814,0.8090788,,
GX,3365909,800368,23.7786583,2296627,68.2319991,39214,1.1650345,,
HI,655392,182575,27.8573739,434730,66.3312949,5379,0.8207302,,
CQ,2149383,398558,18.5429028,1548958,72.0652392,46302,2.1541996,,
SC,6731515,1326554,19.7066188,4799597,71.3003982,118731,1.763808,,
GZ,2471843,494275,19.9962134,1769896,71.6022822,37069,1.4996503,,
YN,3512312,746903,21.2652805,2506853,71.3733005,50253,1.430767,,
XZ,199755,68184,34.1338139,113521,56.8301169,4644,2.3248479,,
SN,3068634,733201,23.8934001,2128504,69.3632411,33754,1.0999683,,
GS,2131599,495825,23.2607071,1485444,69.6868407,22886,1.0736541,,
QH,420779,94104,22.364234,292150,69.4307463,10806,2.5680939,,
NX,477813,96358,20.1664668,355150,74.3282414,6899,1.4438703,,
XJ,1640004,364609,22.2322019,1146418,69.9033661,52815,3.220419,,
