fire_id,year,month,day,lat,long,acres_burned,na_l3name,na_l2name,na_l1name,yearmonth,mean_potential_et,total_precip,max_air_temp,mean_wind_speed
CA3432711813620090826,2009,Aug,26,34.327,-118.13600000000001,165368,Southern and Baja California Pine-Oak Mountains,MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,2009-08,6.5957964811419405,0.7869594118602091,304.092130075721,2.9768591620047498
ID4310411315820060815,2006,Aug,15,43.104,-113.15799999999999,218581,Snake River Plain,COLD DESERTS,NORTH AMERICAN DESERTS,2006-08,5.84688547230322,3.56761595904914,302.9681360124,2.97693022320136
ID4321811283820000726,2000,July,26,43.218,-112.838,73479,Snake River Plain,COLD DESERTS,NORTH AMERICAN DESERTS,2000-07,6.81637242190826,5.24723159485868,305.123961664087,3.11249992196689
NV4048211779820010812,2001,Aug,12,40.482,-117.79799999999999,76332,Central Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,2001-08,6.31849336436903,11.2856531030351,305.67891542544896,2.97759559155244
NV4192111742519960826,1996,Aug,26,41.92100000000001,-117.425,58737,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1996-08,5.84364236536223,5.746714972538951,302.346471184267,3.20841660158381
OR4363411935219900806,1990,Aug,6,43.63399999999999,-119.352,71143,Blue Mountains,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1990-08,4.9254883056753,31.4100032498589,299.340818727191,2.8374955943224003
OR4487312131019960810,1996,Aug,10,44.873000000000005,-121.31,118466,Blue Mountains,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1996-08,5.478796675348719,8.10195275093469,300.682909078875,3.2239323026356805
WA4642711956919840812,1984,Aug,12,46.427,-119.569,122914,Columbia Plateau,COLD DESERTS,NORTH AMERICAN DESERTS,1984-08,5.66004397725895,8.24355188143945,302.655093434124,3.3403843600845
WA4667912005019960814,1996,Aug,14,46.678999999999995,-120.05,72859,Columbia Plateau,COLD DESERTS,NORTH AMERICAN DESERTS,1996-08,5.59887198437142,2.35165228442767,302.781961189951,3.4048662215335397
CA3433511879220031025,2003,Oct,25,34.335,-118.792,107756,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,2003-10,4.0167985313706405,2.69314545408422,300.654870996638,3.2273549176886402
CA3534412027619960815,1996,Aug,15,35.344,-120.27600000000001,94698,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,1996-08,6.540561588562451,0.115924949196833,306.458562418928,3.2276682265383703
CA3593011818220000722,2000,July,22,35.93,-118.182,76158,Sierra Nevada,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,2000-07,6.0887215423078205,0.531665678856045,298.42533017025903,2.9117019123280095
CA3791311981819960814,1996,Aug,14,37.913000000000004,-119.818,58161,Sierra Nevada,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1996-08,5.78479216786624,4.28471961598554,300.461325073961,2.8399627366958202
GA3111308242720070416,2007,April,16,31.113000000000003,-82.427,52495,Southern Coastal Plain,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,2007-04,5.31263156225455,45.405230917988796,299.916664718501,4.21751618534869
NV4074311759720010831,2001,Aug,31,40.743,-117.59700000000001,55255,Central Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,2001-08,6.31849336436903,11.2856531030351,305.67891542544896,2.97759559155244
OR4300511753819860810,1986,Aug,10,43.005,-117.538,65309,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1986-08,5.81857208457685,8.69285375695774,303.291891781184,2.89447738963566
OR4312211758119960730,1996,July,30,43.122,-117.581,56721,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1996-07,6.488959154716659,8.619855489726241,303.582184795324,2.89936288836798
OR4320311927919850707,1985,July,7,43.203,-119.279,50919,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1985-07,6.5837466227902,22.921542866700698,303.99523096965197,2.9338144681006098
