fire_id,year,month,day,lat,long,acres_burned,na_l3name,na_l2name,na_l1name,yearmonth,mean_potential_et,total_precip,max_air_temp,mean_wind_speed
CA3432711813620090826,2009,Aug,26,34.327,-118.136,165368,Southern and Baja California Pine-Oak Mountains,MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,2009-08,6.60,0.79,304,2.98
ID4310411315820060815,2006,Aug,15,43.104,-113.158,218581,Snake River Plain,COLD DESERTS,NORTH AMERICAN DESERTS,2006-08,5.85,3.57,303,2.98
ID4321811283820000726,2000,July,26,43.218,-112.838,73479,Snake River Plain,COLD DESERTS,NORTH AMERICAN DESERTS,2000-07,6.82,5.25,305,3.11
NV4048211779820010812,2001,Aug,12,40.482,-117.798,76332,Central Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,2001-08,6.32,11.29,306,2.98
NV4192111742519960826,1996,Aug,26,41.921,-117.425,58737,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1996-08,5.84,5.75,302,3.21
OR4363411935219900806,1990,Aug,6,43.634,-119.352,71143,Blue Mountains,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1990-08,4.93,31.41,299,2.84
OR4487312131019960810,1996,Aug,10,44.873,-121.31,118466,Blue Mountains,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1996-08,5.48,8.10,301,3.22
WA4642711956919840812,1984,Aug,12,46.427,-119.569,122914,Columbia Plateau,COLD DESERTS,NORTH AMERICAN DESERTS,1984-08,5.66,8.24,303,3.34
WA4667912005019960814,1996,Aug,14,46.679,-120.05,72859,Columbia Plateau,COLD DESERTS,NORTH AMERICAN DESERTS,1996-08,5.60,2.35,303,3.40
CA3433511879220031025,2003,Oct,25,34.335,-118.792,107756,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,2003-10,4.02,2.69,301,3.23
CA3534412027619960815,1996,Aug,15,35.344,-120.276,94698,"California Coastal Sage, Chaparral, and Oak Woodlands",MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,1996-08,6.54,0.12,306,3.23
CA3593011818220000722,2000,July,22,35.93,-118.182,76158,Sierra Nevada,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,2000-07,6.09,0.53,298,2.91
CA3791311981819960814,1996,Aug,14,37.913,-119.818,58161,Sierra Nevada,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,1996-08,5.78,4.28,300,2.84
GA3111308242720070416,2007,April,16,31.113,-82.427,52495,Southern Coastal Plain,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,EASTERN TEMPERATE FORESTS,2007-04,5.31,45.41,300,4.22
NV4074311759720010831,2001,Aug,31,40.743,-117.597,55255,Central Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,2001-08,6.32,11.29,306,2.98
OR4300511753819860810,1986,Aug,10,43.005,-117.538,65309,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1986-08,5.82,8.69,303,2.89
OR4312211758119960730,1996,July,30,43.122,-117.581,56721,Northern Basin and Range,COLD DESERTS,NORTH AMERICAN DESERTS,1996-07,6.49,8.62,304,2.90
